source,region_id,offset,cutoff_year,max_publication_year,possibility_pressure,question_pressure,anomaly_pressure,doubt_tension,pattern_formation,cross_domain_similarity,analogical_transfer,bridge_formation,collision_index,surprise_geometry,insight_coherence,leap_nonlinearity,originality_risk,density_gap,boundary_activity,complementarity,momentum,recombination,convergence,sequence_order_score,stage_possibility,stage_question,stage_pattern,stage_imagination,stage_insight,stage_discovery_readiness,core_geometry_score,n_docs,mean_citations,topic_entropy,activity_recent,activity_prior,question_rate,years_covered,quality_eligible,skg,pbs,bookwide_pbsk,match_case_id,label,target,domain,book_realm,landmark_year,cohort
OpenAlex,crispr,5,2007,2007,0.48034948546918743,0.6743096978854795,0.09275586112736403,0.3759622303493606,0.542749686802368,0.6007453024089157,0.09042074679079797,0.7348837209302326,0.5015300130938091,0.41480657611675475,0.5003059497214907,0.6738853503184714,0.41480657611675475,0.39925469759108434,0.3581395348837209,0.9754646210631851,0.5529953917050691,0.20481373574959405,0.5617037489710398,0.5333333333333333,0.4095307750254932,0.2864936463322541,0.4459836624827037,0.4693108012999923,0.38610078954602883,0.5835822648397129,0.517659909597363,215,7.441860465116279,0.9754646210631851,119,96,0.20465116279069767,6,1,0.5186064822595278,0.5342580153839738,0.42056258692419496,crispr,CRISPR-Cas genome editing,1,Life Sciences,Life,2012,landmark
OpenAlex,crispr,3,2009,2009,0.4745122524442078,0.6316676138405006,0.06634757077611565,0.3205194390254763,0.5479496213393005,0.5790249247680959,0.08603854310812499,0.7408637873754153,0.5111845710553544,0.4034057164753233,0.49930495915392425,0.6738853503184714,0.4034057164753233,0.42097507523190414,0.3089700996677741,0.9711423762129627,0.5252100840336135,0.2005660500527116,0.5549118062938581,0.6,0.39519073628956736,0.2377146807879822,0.4444332446765615,0.455051396679309,0.3816064928116913,0.5966094213121625,0.5358847664305549,301,7.06312292358804,0.9711423762129627,124,112,0.18604651162790697,8,1,0.501747534497263,0.5222923987769201,0.4036509093789987,crispr,CRISPR-Cas genome editing,1,Life Sciences,Life,2012,landmark
OpenAlex,crispr,1,2011,2011,0.4646588941629135,0.5784926210105112,0.08474768670674,0.28329606837521104,0.5516446752084928,0.6058145484842805,0.10960130261143977,0.7597087378640777,0.5131235501754071,0.39710974643181357,0.5003990968487992,0.6738853503184714,0.39710974643181357,0.3941854515157195,0.3131067961165049,0.9689118668597438,0.5787545787545787,0.23813810625209833,0.5204575239007717,0.6,0.3856344110564408,0.2403746922095317,0.4695974154854773,0.45714460315035704,0.3958313929818605,0.6162315105234674,0.5333071905985511,412,6.587378640776699,0.9689118668597438,157,114,0.1650485436893204,10,1,0.49267340610375016,0.523936448921906,0.4114808789132877,crispr,CRISPR-Cas genome editing,1,Life Sciences,Life,2012,landmark
OpenAlex,ips,5,2001,2001,0.5065530455741262,0.7357623128722589,0.08383636531402051,0.24689246502029602,0.5335396649090357,0.5465466557765367,0.34650974575328347,0.8487394957983193,0.5679443189227519,0.4303850232452133,0.4974643530632848,0.7677543186180421,0.4303850232452133,0.4534533442234633,0.35294117647058826,0.9207892650895386,0.6859504132231407,0.7469883010951118,0.5127128337715487,0.43333333333333335,0.43279937306897737,0.24787112542250667,0.6064912185128597,0.46606574099748566,0.5754178343359906,0.6111001109345524,0.5065730533100442,119,45.57142857142857,0.9207892650895386,82,37,0.23529411764705882,6,1,0.5281999979916375,0.5999350743154327,0.4691517312805922,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
OpenAlex,ips,3,2003,2003,0.5173007119297615,0.9314147822600678,0.22045845319533597,0.8506834010974648,0.556537106102108,0.5370816811197934,0.36431499869577116,0.8724137931034482,0.5583109396207027,0.4186991998544241,0.5317734120586401,0.7887358135582934,0.4186991998544241,0.4629183188802066,0.27241379310344827,0.8749103047350324,0.7698113207547168,0.777524689371402,0.4439595781396004,0.4,0.4025552660457114,0.5590010371246018,0.6127829511653711,0.4549337957128938,0.5683223636039065,0.6239147916613402,0.4749104312074417,290,47.93448275862069,0.8749103047350324,203,60,0.41724137931034483,8,1,0.47962189146672696,0.5818665871150253,0.530316945633609,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
OpenAlex,ips,1,2005,2005,0.49561184133347436,0.931595257427442,0.237155793223418,0.7661707719294821,0.5716308001558836,0.543843992144919,0.403518037233646,0.8681318681318682,0.5248831663963193,0.38144316175953535,0.5247047620713026,0.7887358135582934,0.38144316175953535,0.45615600785508104,0.21318681318681318,0.8304223609301906,0.6957605985037405,0.8546787737304856,0.48688874181038105,0.26666666666666666,0.3639193406547823,0.5531745558076431,0.6140237793469868,0.4293169158569746,0.6021655218556436,0.5269709902541491,0.3925712987298207,455,56.22417582417582,0.8304223609301906,278,121,0.4175824175824176,10,1,0.43223930602075217,0.5628183148145838,0.50627776348855,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
OpenAlex,mrna,5,2015,2015,0.46505925956339433,0.9773953573935389,0.2630294645395157,0.5981333906977965,0.5800132108115243,0.7622707088738908,0.7086247288339073,0.936026936026936,0.5118725467063598,0.3410703262166813,0.5010967478397301,0.7306616961789376,0.3410703262166813,0.2377292911261092,0.3265993265993266,0.8836449869059808,0.5317725752508362,0.9931588693147471,0.5915147293711929,0.6,0.3305233090323043,0.5357443176199389,0.704882028913804,0.44592898462101627,0.6652250952028655,0.615457179688893,0.5009712288187391,297,40.24242424242424,0.8836449869059808,158,139,0.5589225589225589,6,1,0.40937872219473226,0.5574037035510624,0.5324572097880432,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
OpenAlex,mrna,3,2017,2017,0.4590846258425208,0.9764963401244123,0.2744686218100928,0.6216559286387505,0.5848842534554886,0.7635780159330454,0.7080446243863959,0.9366197183098591,0.5008436110914001,0.33386454355767475,0.5036330504686518,0.7306616961789376,0.33386454355767475,0.23642198406695458,0.2863849765258216,0.8649721388218865,0.5406976744186047,0.990019883684148,0.5262946993756257,0.43333333333333335,0.3144200840198391,0.550264041733953,0.6999703151701694,0.4398770849379833,0.6402197172043789,0.5552616082669954,0.43844239976263627,426,49.34976525821596,0.8649721388218865,185,157,0.5539906103286385,8,1,0.38834114134860265,0.5366066643204819,0.5162814379545921,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
OpenAlex,mrna,1,2019,2019,0.46807760977650975,0.9772897647784408,0.2759873413219676,0.6351489523872873,0.5958787266902088,0.7934460345848817,0.7412133740018858,0.9416666666666667,0.4835176650917934,0.31449044166130674,0.5062478950417244,0.7306616961789376,0.31449044166130674,0.20655396541511828,0.36333333333333334,0.8511348875248735,0.5724637681159421,0.9920387933370663,0.6554379114620913,0.5333333333333333,0.32750571474392787,0.5553874132379338,0.7025574001531252,0.4281317456290174,0.6904641718029375,0.6064863412484232,0.46888180147852393,600,62.791666666666664,0.8511348875248735,236,176,0.5583333333333333,10,1,0.39974133406612905,0.5675935685250767,0.5329331335440813,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
OpenAlex,alphafold2,5,2016,2016,0.2833538430615917,0.7615941559557649,0.3027097293321085,0.5545997223493823,0.0,0.0,0.0,0.8125,0.39951249497508656,0.0,0.0,0.8,0.0,0.0,0.0,0.9834153722463669,0.2777777777777778,0.029158398839580997,0.0,0.4,6.568149596709668e-05,0.5037826541633125,0.0031682405327628227,1.0000000000000004e-06,3.0779003666534915e-05,0.4462886333881131,0.05426628849547969,16,1.3125,0.9834153722463669,4,12,0.25,5,0,9.944409449194e-07,0.24126558099989814,0.0010626635782535563,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,landmark
